Time,Wind Power (MWh)
1:00,250.54617309570312
2:00,163.67318725585938
3:00,126.33503723144531
4:00,123.28075408935547
5:00,160.625732421875
6:00,116.93171691894531
7:00,128.365966796875
8:00,165.81854248046875
9:00,139.13072204589844
10:00,150.08740234375
11:00,148.52108764648438
12:00,181.05487060546875
13:00,185.8843994140625
14:00,177.33566284179688
15:00,176.92556762695312
16:00,191.589599609375
17:00,177.00531005859375
18:00,154.76177978515625
19:00,172.24594116210938
20:00,171.73345947265625
21:00,127.7346420288086
22:00,122.73534393310547
23:00,140.42837524414062
24:00,145.21156311035156
